Size, Recursive put calls
1, 0
2, 1
3, 1
4, 2
5, 2
6, 2
7, 2
8, 3
9, 3
10, 3
11, 3
12, 3
13, 3
14, 3
15, 3
16, 4
17, 4
18, 4
19, 4
20, 4
21, 4
22, 4
23, 4
24, 4
25, 4
26, 4
27, 4
28, 4
29, 4
30, 4
31, 4
32, 5
33, 5
34, 5
35, 5
36, 5
37, 5
38, 5
39, 5
40, 5
41, 5
42, 5
43, 5
44, 5
45, 5
46, 5
47, 5
48, 5
49, 5
50, 5
51, 5
52, 5
53, 5
54, 5
55, 5
56, 5
57, 5
58, 5
59, 5
60, 5
61, 5
62, 5
63, 5
64, 6
65, 6
66, 6
67, 6
68, 6
69, 6
70, 6
71, 6
72, 6
73, 6
74, 6
75, 6
76, 6
77, 6
78, 6
79, 6
80, 6
81, 6
82, 6
83, 6
84, 6
85, 6
86, 6
87, 6
88, 6
89, 6
90, 6
91, 6
92, 6
93, 6
94, 6
95, 6
96, 6
97, 6
98, 6
99, 6
100, 6
101, 6
102, 6
103, 6
104, 6
105, 6
106, 6
107, 6
108, 6
109, 6
110, 6
111, 6
112, 6
113, 6
114, 6
115, 6
116, 6
117, 6
118, 6
119, 6
120, 6
121, 6
122, 6
123, 6
124, 6
125, 6
126, 6
127, 6
128, 7
129, 7
130, 7
131, 7
132, 7
133, 7
134, 7
135, 7
136, 7
137, 7
138, 7
139, 7
140, 7
141, 7
142, 7
143, 7
144, 7
145, 7
146, 7
147, 7
148, 7
149, 7
150, 7
151, 7
152, 7
153, 7
154, 7
155, 7
156, 7
157, 7
158, 7
159, 7
160, 7
161, 7
162, 7
163, 7
164, 7
165, 7
166, 7
167, 7
168, 7
169, 7
170, 7
171, 7
172, 7
173, 7
174, 7
175, 7
176, 7
177, 7
178, 7
179, 7
180, 7
181, 7
182, 7
183, 7
184, 7
185, 7
186, 7
187, 7
188, 7
189, 7
190, 7
191, 7
192, 7
193, 7
194, 7
195, 7
196, 7
197, 7
198, 7
199, 7
200, 7
201, 7
202, 7
203, 7
204, 7
205, 7
206, 7
207, 7
208, 7
209, 7
210, 7
211, 7
212, 7
213, 7
214, 7
215, 7
216, 7
217, 7
218, 7
219, 7
220, 7
221, 7
222, 7
223, 7
224, 7
225, 7
226, 7
227, 7
228, 7
229, 7
230, 7
231, 7
232, 7
233, 7
234, 7
235, 7
236, 7
237, 7
238, 7
239, 7
240, 7
241, 7
242, 7
243, 7
244, 7
245, 7
246, 7
247, 7
248, 7
249, 7
250, 7
251, 7
252, 7
253, 7
254, 7
255, 7
256, 8
257, 8
258, 8
259, 8
260, 8
261, 8
262, 8
263, 8
264, 8
265, 8
266, 8
267, 8
268, 8
269, 8
270, 8
271, 8
272, 8
273, 8
274, 8
275, 8
276, 8
277, 8
278, 8
279, 8
280, 8
281, 8
282, 8
283, 8
284, 8
285, 8
286, 8
287, 8
288, 8
289, 8
290, 8
291, 8
292, 8
293, 8
294, 8
295, 8
296, 8
297, 8
298, 8
299, 8
300, 8
301, 8
302, 8
303, 8
304, 8
305, 8
306, 8
307, 8
308, 8
309, 8
310, 8
311, 8
312, 8
313, 8
314, 8
315, 8
316, 8
317, 8
318, 8
319, 8
320, 8
321, 8
322, 8
323, 8
324, 8
325, 8
326, 8
327, 8
328, 8
329, 8
330, 8
331, 8
332, 8
333, 8
334, 8
